  ID  |              Name              |  Lvl |     XP     |    Gold    |
 5853 |            TadZard             |  80  |    1508    |    335     |
 5854 |            TadZard             | 100  |    7705    |    1711    |
 5855 |            TadZard             | 120  |   41960    |    9324    |
 5856 |            TadZard             | 135  |   128300   |   42760    |
 5857 |          Undead Zard           | 105  |   13540    |    4513    |
 5858 |          Undead Zard           | 120  |   48490    |   16180    |
 5859 |          Undead Zard           | 135  |   177900   |   59350    |
 5860 |            MogZard             |  10  |     43     |     15     |
 5861 |            MogZard             |  35  |    105     |     34     |
 5862 |            MogZard             |  60  |    490     |    164     |
 5863 |            MogZard             |  85  |    3344    |    1117    |
 5864 |            MogZard             | 110  |   26590    |    8865    |
 5865 |            MogZard             | 125  |   96100    |   32040    |
 5866 |            MogZard             | 135  |   229200   |   76380    |
 5867 |            Shirrig             |  5   |     34     |     10     |
 5868 |            Shirrig             |  20  |     44     |     15     |
 5869 |            Shirrig             |  60  |    384     |    127     |
 5870 |            Shirrig             |  75  |    1176    |    393     |
 5871 |            Shirrig             |  96  |    6389    |    2130    |
 5872 |            Shirrig             | 117  |   37510    |   12500    |
 5873 |            Shirrig             | 132  |   137000   |   45670    |
 5874 |           Razorclaw            |  5   |     7      |     19     |
 5875 |           Razorclaw            |  40  |     22     |     63     |
 5876 |           Razorclaw            |  75  |    234     |    707     |
 5877 |           Razorclaw            |  96  |    1274    |    3835    |
 5878 |           Razorclaw            | 117  |    7519    |   22500    |
 5879 |           Razorclaw            | 132  |   27410    |   82210    |
 5880 |      Cyclone Wyvern Rider      |  10  |     49     |     17     |
 5881 |      Cyclone Wyvern Rider      |  20  |     69     |     23     |
 5882 |      Cyclone Wyvern Rider      |  35  |    129     |     42     |
 5883 |      Cyclone Wyvern Rider      |  65  |    867     |    291     |
 5889 |      Cyclone Wyvern Rider      |  85  |    4118    |    1531    |
 5890 |      Cyclone Wyvern Rider      | 105  |   21440    |    7147    |
 5891 |      Cyclone Wyvern Rider      | 125  |   118200   |   39400    |
 5892 |          Duke Daestis          |  10  |    120     |     42     |
 5893 |          Duke Daestis          |  30  |    222     |     77     |
 5894 |          Duke Daestis          |  50  |    685     |    226     |
 5895 |          Duke Daestis          |  70  |    2830    |    943     |
 5896 |          Duke Daestis          |  90  |   13780    |    4596    |
 5898 |          Duke Daestis          | 110  |   72980    |   24330    |
 5899 |          Duke Daestis          | 130  |   53460    |   135600   |
 5900 |     Flaming Undead Braken      |  10  |     85     |     30     |
 5901 |     Flaming Undead Braken      |  30  |    166     |     52     |
 5902 |     Flaming Undead Braken      |  55  |    678     |    226     |
 5903 |     Flaming Undead Braken      |  80  |    4398    |    1464    |
 5904 |     Flaming Undead Braken      | 105  |   34130    |   11380    |
 5905 |     Flaming Undead Braken      | 125  |   188200   |   62720    |
 5906 |     Flaming Undead Braken      | 135  |   448700   |   149600   |
 5907 |           Guard Dog            |  10  |     74     |     26     |
 5908 |           Guard Dog            |  30  |    145     |     46     |
 5909 |           Guard Dog            |  50  |    426     |    140     |
 5910 |           Guard Dog            |  70  |    1762    |    587     |
 5911 |           Guard Dog            |  90  |    8588    |    2859    |
 5912 |           Guard Dog            | 110  |   45450    |   15150    |
 5913 |           Guard Dog            | 130  |   253300   |   84440    |
 5914 |           Guard Dog            | 150  |  1464000   |   487900   |
 5915 |      Flaming Undead Mage       |  10  |     39     |     13     |
 5916 |      Flaming Undead Mage       |  30  |     75     |     24     |
 5917 |      Flaming Undead Mage       |  50  |    222     |     73     |
 5918 |      Flaming Undead Mage       |  70  |    919     |    306     |
 5919 |      Flaming Undead Mage       |  90  |    4480    |    1494    |
 5920 |      Flaming Undead Mage       | 110  |   23730    |    7905    |
 5921 |      Flaming Undead Mage       | 130  |   132200   |   44080    |
 5922 |      Flaming Undead Mage       | 150  |   764100   |   254700   |
 5923 |       Flaming Undead Elf       |  5   |     45     |     16     |
 5924 |       Flaming Undead Elf       |  25  |     76     |     26     |
 5925 |       Flaming Undead Elf       |  50  |    286     |     94     |
 5926 |       Flaming Undead Elf       |  75  |    1735    |    580     |
 5927 |       Flaming Undead Elf       |  95  |    8689    |    2891    |
 5928 |       Flaming Undead Elf       | 110  |   30480    |   10160    |
 5929 |       Flaming Undead Elf       | 125  |   110200   |   36730    |
 5930 |       Flaming Undead Elf       | 140  |   406900   |   135700   |
 5931 |     Flaming Undead Knight      |  10  |     39     |     13     |
 5932 |     Flaming Undead Knight      |  35  |     94     |     31     |
 5933 |     Flaming Undead Knight      |  55  |    308     |    103     |
 5934 |     Flaming Undead Knight      |  80  |    2000    |    668     |
 5935 |     Flaming Undead Knight      | 100  |   10230    |    3409    |
 5936 |     Flaming Undead Knight      | 115  |   36330    |   12090    |
 5937 |     Flaming Undead Knight      | 130  |   132200   |   44080    |
 5938 |     Flaming Undead Knight      | 145  |   491400   |   163800   |
 5939 |     Flaming Undead Paladin     |  5   |     45     |     16     |
 5940 |     Flaming Undead Paladin     |  20  |     64     |     22     |
 5941 |     Flaming Undead Paladin     |  45  |    208     |     69     |
 5942 |     Flaming Undead Paladin     |  60  |    562     |    188     |
 5943 |     Flaming Undead Paladin     |  85  |    3834    |    1281    |
 5944 |     Flaming Undead Paladin     | 100  |   13150    |    4380    |
 5945 |     Flaming Undead Paladin     | 120  |   71630    |   23850    |
 5946 |     Flaming Undead Paladin     | 145  |   631500   |   210500   |
 5947 |      Flaming Undead Ninja      |  9   |     47     |     17     |
 5948 |      Flaming Undead Ninja      |  30  |     92     |     32     |
 5949 |      Flaming Undead Ninja      |  51  |    302     |    101     |
 5950 |      Flaming Undead Ninja      |  72  |    1374    |    460     |
 5951 |      Flaming Undead Ninja      |  90  |    5757    |    1920    |
 5952 |      Flaming Undead Ninja      | 111  |   33180    |   11060    |
 5953 |      Flaming Undead Ninja      | 132  |   202200   |   67410    |
 5954 |      Flaming Undead Ninja      | 150  |   982100   |   327300   |
 5955 |         Freddy Crowger         |  55  |    591     |    197     |
 5956 |         Freddy Crowger         |  69  |    1636    |    543     |
 5957 |         Freddy Crowger         |  89  |    7911    |    2637    |
 5958 |         Freddy Crowger         |  98  |   16590    |    5530    |
 5959 |          Ancient Imp           |  7   |     42     |     14     |
 5960 |          Ancient Imp           |  27  |     73     |     24     |
 5961 |          Ancient Imp           |  52  |    284     |     93     |
 5962 |          Ancient Imp           |  77  |    1771    |    590     |
 5963 |          Ancient Imp           |  97  |    8935    |    2979    |
 5964 |          Ancient Imp           | 117  |   48270    |   16100    |
 5965 |          Ancient Imp           | 132  |   176400   |   58820    |
 5966 |       Ancient Archdemon        |  7   |     42     |     14     |
 5967 |       Ancient Archdemon        |  27  |     73     |     24     |
 5968 |       Ancient Archdemon        |  52  |    284     |     93     |
 5969 |       Ancient Archdemon        |  77  |    1771    |    590     |
 5970 |       Ancient Archdemon        |  97  |    8935    |    2979    |
 5971 |       Ancient Archdemon        | 117  |   48270    |   16100    |
 5972 |       Ancient Archdemon        | 132  |   176400   |   58810    |
 5973 |           Necromant            |  7   |     94     |     31     |
 5974 |           Necromant            |  27  |    162     |     54     |
 5975 |           Necromant            |  52  |    629     |    208     |
 5976 |           Necromant            |  77  |    3921    |    1308    |
 5977 |           Necromant            |  97  |   19790    |    6592    |
 5978 |           Necromant            | 117  |   106900   |   35630    |
 5979 |           Necromant            | 132  |   390500   |   130200   |
 5980 |             RoBear             |  14  |     81     |     28     |
 5981 |             RoBear             |  29  |    134     |     46     |
 5982 |             RoBear             |  54  |    552     |    184     |
 5983 |             RoBear             |  69  |    1630    |    545     |
 5984 |             RoBear             |  94  |   11920    |    3970    |
 5985 |             RoBear             | 119  |   97930    |   32650    |
 5986 |             RoBear             | 134  |   358800   |   119600   |
 5987 |        Giant Heckhound         |  14  |     81     |     28     |
 5988 |        Giant Heckhound         |  29  |    134     |     46     |
 5989 |        Giant Heckhound         |  54  |    552     |    184     |
 5990 |        Giant Heckhound         |  69  |    1636    |    543     |
 5991 |        Giant Heckhound         |  94  |   11910    |    3975    |
 5992 |        Giant Heckhound         | 119  |   97950    |   32640    |
 5993 |        Giant Heckhound         | 134  |   358900   |   119600   |
 5994 |        Jurg the Hunter         |  14  |     54     |     54     |
 5995 |        Jurg the Hunter         |  29  |     88     |     88     |
 5996 |        Jurg the Hunter         |  54  |    356     |    359     |
 5997 |        Jurg the Hunter         |  69  |    1060    |    1057    |
 5998 |        Jurg the Hunter         |  94  |    7723    |    7717    |
 5999 |        Jurg the Hunter         | 119  |   63440    |   63440    |
 6000 |        Jurg the Hunter         | 134  |   232400   |   232400   |
 6001 |             Qubak              |  69  |    1038    |    149     |
 6002 |             Qubak              |  94  |    7588    |    1082    |
 6003 |             Qubak              | 119  |   62330    |    8904    |
 6004 |             Qubak              | 134  |   228300   |   32640    |
 6005 |            The Roc             |  54  |    404     |     81     |
 6006 |            Altidont            |  14  |     37     |     13     |
 6007 |            Altidont            |  29  |     61     |     21     |
 6008 |            Altidont            |  69  |    744     |    247     |
 6009 |            Altidont            |  94  |    5416    |    1806    |
 6010 |            Altidont            | 119  |   44510    |   14840    |
 6011 |            Altidont            | 134  |   163100   |   54390    |
 6012 |           Heckhound            | 135  |   178000   |   59330    |
 6013 |          Ursus Omega           | 145  |   988600   |   988700   |
 6015 |            Am-Boss             |  1   |     68     |     21     |
 6016 |            Am-Boss             |  20  |     96     |     32     |
 6017 |            Am-Boss             |  40  |    233     |     76     |
 6018 |            Am-Boss             |  60  |    844     |    279     |
 6019 |            Am-Boss             |  80  |    3838    |    1278    |
 6020 |            Am-Boss             | 100  |   19600    |    6531    |
 6021 |            Am-Boss             | 120  |   106700   |   35570    |
 6022 |            Am-Boss             | 140  |   606600   |   202200   |
 6023 |          Duke Daestis          | 150  |  2351000   |   783600   |
 6024 |      Cyclone Wyvern Rider      | 145  |   677600   |   225800   |
 6025 |      Typhoon Wyvern Rider      |  5   |     49     |     17     |
 6026 |      Typhoon Wyvern Rider      |  25  |     82     |     28     |
 6027 |      Typhoon Wyvern Rider      |  45  |    223     |     74     |
 6028 |      Typhoon Wyvern Rider      |  65  |    867     |    291     |
 6029 |      Typhoon Wyvern Rider      |  85  |    4118    |    1372    |
 6030 |      Typhoon Wyvern Rider      | 105  |   21440    |    7147    |
 6031 |      Typhoon Wyvern Rider      | 125  |   118200   |   39400    |
 6032 |      Typhoon Wyvern Rider      | 145  |   677600   |   225800   |
 6033 |        Nightmare Wyvern        |  10  |     74     |     26     |
 6034 |        Nightmare Wyvern        |  30  |    145     |     46     |
 6035 |        Nightmare Wyvern        |  50  |    426     |    140     |
 6036 |        Nightmare Wyvern        |  70  |    1762    |    587     |
 6037 |        Nightmare Wyvern        |  90  |    8588    |    2859    |
 6038 |        Nightmare Wyvern        | 110  |   45450    |   15150    |
 6039 |        Nightmare Wyvern        | 130  |   253300   |   84440    |
 6040 |        Nightmare Wyvern        | 150  |  1464000   |   487900   |
 6041 |         Cyclone Wyvern         | 105  |   21440    |    7147    |
 6042 |         Cyclone Wyvern         | 125  |   118200   |   39400    |
 6043 |         Cyclone Wyvern         | 145  |   677600   |   225800   |
 6044 |         Typhoon Wyvern         | 105  |   21440    |    7147    |
 6045 |         Typhoon Wyvern         | 125  |   118200   |   39400    |
 6046 |         Typhoon Wyvern         | 145  |   677600   |   225800   |
 6047 |      Vartai Blade Master       |  20  |     56     |     19     |
 6048 |      Vartai Blade Master       | 100  |   11470    |    3822    |
 6049 |      Vartai Blade Master       | 120  |   62480    |   20810    |
 6050 |      Vartai Blade Master       | 140  |   354900   |   118300   |
 6051 |      Vartai Blade Master       |  20  |     56     |     19     |
 6052 |      Vartai Blade Master       | 100  |   11470    |    3822    |
 6053 |      Vartai Blade Master       | 120  |   62480    |   20810    |
 6054 |      Vartai Blade Master       | 140  |   354900   |   118300   |
 6055 |         Vartai Hunter          |  20  |     56     |     19     |
 6056 |         Vartai Hunter          | 100  |   11470    |    3822    |
 6057 |         Vartai Hunter          | 120  |   62480    |   20810    |
 6058 |         Vartai Hunter          | 140  |   354900   |   118300   |
 6059 |         Vartai Hunter          |  20  |     56     |     19     |
 6060 |         Vartai Hunter          | 100  |   11470    |    3822    |
 6061 |         Vartai Hunter          | 120  |   62480    |   20810    |
 6062 |         Vartai Hunter          | 140  |   354900   |   118300   |
 6063 |      Half-Dragon Soldier       |  10  |     43     |     15     |
 6064 |      Half-Dragon Soldier       |  50  |    249     |     82     |
 6065 |      Half-Dragon Soldier       | 110  |   26590    |    8865    |
 6066 |      Half-Dragon Soldier       | 130  |   148200   |   49420    |
 6067 |      Half-Dragon Soldier       | 150  |   856700   |   285500   |
 6068 |             Hirroo             |  13  |    123     |     13     |
 6069 |             Hirroo             |  73  |    3326    |    369     |
 6070 |             Hirroo             | 123  |   207300   |   23030    |
 6071 |             Hirroo             | 133  |   493300   |   54810    |
 6072 |       Blighted Deathwood       |  10  |    114     |     15     |
 6073 |       Blighted Deathwood       |  30  |    211     |     24     |
 6074 |       Blighted Deathwood       |  50  |    637     |     70     |
 6075 |       Blighted Deathwood       |  70  |    2639    |    294     |
 6076 |       Blighted Deathwood       |  90  |   12870    |    1432    |
 6077 |       Blighted Deathwood       | 110  |   68160    |    7574    |
 6078 |       Blighted Deathwood       | 130  |   379900   |   42220    |
 6079 |           Uncle Sham           |  5   |     19     |    208     |
 6080 |           Uncle Sham           |  20  |     22     |    692     |
 6081 |           Uncle Sham           |  40  |     62     |    1567    |
 6082 |           Uncle Sham           |  60  |    222     |    2733    |
 6083 |           Uncle Sham           |  80  |    997     |    6061    |
 6084 |           Uncle Sham           | 100  |    5072    |    9142    |
 6085 |           Uncle Sham           | 120  |   27650    |   90350    |
 6086 |             Braken             |  78  |    1190    |    596     |
 6087 |             Braken             |  98  |    6032    |    3017    |
 6088 |             Braken             | 118  |   32690    |   16340    |
 6089 |             Braken             | 138  |   185100   |   92550    |
 6090 |        Deep-Sea Braken         |  12  |     68     |     30     |
 6091 |        Deep-Sea Braken         |  37  |    158     |     79     |
 6092 |        Deep-Sea Braken         |  62  |    774     |    389     |
 6093 |        Deep-Sea Braken         |  87  |    5381    |    2690    |
 6094 |        Deep-Sea Braken         | 112  |   43080    |   21540    |
 6095 |        Deep-Sea Braken         | 127  |   156200   |   78100    |
 6096 |        Deep-Sea Braken         | 132  |   241200   |   120600   |
 6097 |         Frost Trooper          |  85  |    1947    |    1095    |
 6098 |        Frost Berserker         | 105  |   10150    |    5645    |
 6099 |            Ratliver            |  62  |    175     |    236     |
 6100 |            Ratliver            |  87  |    1222    |    1631    |
 6101 |            Ratliver            | 112  |    9800    |   13050    |
 6102 |            Ratliver            | 127  |   35500    |   47330    |
 6103 |            Ratliver            | 132  |   54810    |   73080    |
 6104 |           Anchorhand           |  62  |    278     |    217     |
 6105 |           Anchorhand           |  87  |    724     |    562     |
 6106 |           Anchorhand           | 112  |    1705    |    1327    |
 6107 |           Anchorhand           | 127  |   35480    |   47340    |
 6108 |           Anchorhand           | 132  |   54800    |   73080    |
 6109 |            Vagaran             |  12  |     37     |     12     |
 6110 |        Bubble Elemental        |  15  |     69     |     3      |
 6111 |            Vagaran             | 112  |   24470    |    8163    |
 6112 |            Vagaran             | 127  |   88770    |   29580    |
 6113 |            Vagaran             | 132  |   137000   |   45670    |
 6114 |            Assassin            |  12  |     37     |     12     |
 6115 |            Assassin            |  55  |    269     |     90     |
 6116 |            Assassin            |  84  |    2397    |    801     |
 6117 |            Assassin            | 112  |   24470    |    8163    |
 6118 |            Assassin            | 127  |   88770    |   29580    |
 6119 |            Assassin            | 132  |   137000   |   45670    |
 6120 |      Drakel Swordmistress      |  12  |     58     |     18     |
 6121 |      Drakel Swordmistress      |  37  |    142     |     47     |
 6122 |      Drakel Swordmistress      |  87  |    4841    |    1613    |
 6123 |      Drakel Swordmistress      | 112  |   38740    |   12920    |
 6124 |      Drakel Swordmistress      | 127  |   140500   |   46840    |
 6125 |      Drakel Swordmistress      | 132  |   216900   |   72320    |
 6126 |           Deathwood            |  75  |    1767    |    196     |
 6127 |           Deathwood            |  95  |    8822    |    981     |
 6128 |           Deathwood            | 115  |   47410    |    5271    |
 6129 |           Deathwood            | 135  |   267000   |   29660    |
 6130 |            Assassin            |  70  |    801     |    267     |
 6131 |      Giant Treasure Hoard      | 105  |    1348    |    8578    |
 6132 |    Enormous Treasure Hoard     | 120  |    4867    |   30720    |
 6133 |    Humongous Treasure Hoard    | 135  |   17750    |   112700   |
 6134 |   Monumental Treasure Hoard    | 150  |   66480    |   421400   |
 6135 |        Demersal Dweller        | 110  |   68160    |    7574    |
 6136 |        Benthic Dweller         | 130  |   379900   |   42220    |
 6137 |           Ku D'envoi           |  16  |     90     |     28     |
 6138 |           Ku D'envoi           |  36  |    191     |     61     |
 6139 |           Ku D'envoi           |  56  |    635     |    211     |
 6140 |           Ku D'envoi           |  76  |    2802    |    932     |
 6141 |           Ku D'envoi           |  96  |   14060    |    4683    |
 6142 |           Ku D'envoi           | 116  |   75750    |   25250    |
 6143 |           Ku D'envoi           | 136  |   427400   |   142400   |
 6144 |               Ku               |  16  |     41     |     13     |
 6145 |               Ku               |  36  |     84     |     29     |
 6146 |               Ku               |  56  |    289     |     96     |
 6147 |               Ku               |  76  |    1271    |    425     |
 6148 |               Ku               |  96  |    6389    |    2130    |
 6149 |               Ku               | 116  |   34440    |   11470    |
 6150 |               Ku               | 136  |   194300   |   64730    |
 6151 |          Fire Mantik           |  52  |    275     |     55     |
 6152 |          Fire Mantik           |  77  |    1721    |    344     |
 6153 |          Fire Mantik           |  97  |    8677    |    1735    |
 6154 |          Fire Mantik           | 117  |   46880    |    9376    |
 6155 |          Fire Mantik           | 132  |   171300   |   34250    |
 6156 |            Chimera             | 135  |   178000   |   59330    |
 6157 |        Thunder Stalker         |  17  |    141     |     49     |
 6158 |        Thunder Stalker         |  37  |    317     |    105     |
 6159 |        Thunder Stalker         |  57  |    1095    |    363     |
 6160 |        Thunder Stalker         |  77  |    4861    |    1621    |
 6161 |        Thunder Stalker         | 102  |   37200    |   12400    |
 6162 |        Thunder Stalker         | 122  |   203600   |   67870    |
 6163 |        Thunder Stalker         | 137  |   749000   |   249700   |
 6164 |          Jotun Leader          | 106  |   11430    |    6009    |
 6165 |              Hans              |  4   |     38     |     14     |
 6166 |              Hans              |  25  |     66     |     23     |
 6167 |              Hans              |  46  |    193     |     64     |
 6168 |              Hans              |  67  |    821     |    274     |
 6169 |              Hans              |  88  |    4265    |    1423    |
 6170 |              Hans              | 109  |   24430    |    8144    |
 6171 |              Hans              | 130  |   148200   |   49420    |
 6172 |           Goldenrod            |  15  |     61     |     20     |
 6173 |           Goldenrod            |  35  |    129     |     42     |
 6174 |           Goldenrod            |  55  |    425     |    142     |
 6175 |           Goldenrod            |  75  |    1861    |    622     |
 6176 |           Goldenrod            |  95  |    9317    |    3103    |
 6177 |           Goldenrod            | 115  |   50040    |   16690    |
 6178 |           Goldenrod            | 135  |   281800   |   93940    |
 6179 |         Shadow Blecch          |  10  |     34     |     12     |
 6180 |         Shadow Blecch          |  31  |     69     |     22     |
 6181 |         Shadow Blecch          |  52  |    221     |     73     |
 6182 |         Shadow Blecch          |  73  |    1005    |    337     |
 6183 |         Shadow Blecch          |  94  |    5416    |    1806    |
 6184 |         Shadow Blecch          | 115  |   25300    |   12640    |
 6185 |         Shadow Blecch          | 136  |   155400   |   77700    |
 6186 |         Shadow Braken          |  10  |     28     |     14     |
 6187 |         Shadow Braken          |  31  |     54     |     27     |
 6188 |         Shadow Braken          |  52  |    176     |     88     |
 6189 |         Shadow Braken          |  73  |    804     |    404     |
 6190 |         Shadow Braken          |  94  |    4330    |    2168    |
 6191 |         Shadow Braken          | 115  |   25300    |   12640    |
 6192 |         Shadow Braken          | 136  |   155400   |   77700    |
 6193 |     Shadow Alpha Werewolf      |  10  |     43     |     15     |
 6194 |     Shadow Alpha Werewolf      |  30  |     81     |     28     |
 6195 |     Shadow Alpha Werewolf      |  50  |    249     |     82     |
 6196 |     Shadow Alpha Werewolf      |  70  |    1031    |    343     |
 6197 |     Shadow Alpha Werewolf      |  90  |    5022    |    1675    |
 6198 |     Shadow Alpha Werewolf      | 110  |   26590    |    8865    |
 6199 |     Shadow Alpha Werewolf      | 130  |   148200   |   49420    |
 6200 |      Shadow Vampire Lord       |  10  |     43     |     15     |
 6201 |      Shadow Vampire Lord       |  30  |     81     |     28     |
 6202 |      Shadow Vampire Lord       |  50  |    249     |     82     |
 6203 |      Shadow Vampire Lord       |  70  |    1031    |    343     |
 6204 |      Shadow Vampire Lord       |  90  |    5022    |    1675    |
 6205 |      Shadow Vampire Lord       | 110  |   26590    |    8865    |
 6206 |      Shadow Vampire Lord       | 130  |   148200   |   49420    |
 6207 |            O'Greeny            |  5   |     7      |     19     |
 6208 |            O'Greeny            | 110  |    4130    |   12390    |
 6209 |            O'Greeny            | 125  |   14960    |   44780    |
 6210 |            O'Greeny            | 140  |   55160    |   165400   |
 6211 |            O'Meany             | 100  |    1786    |    5343    |
 6212 |            O'Meany             | 115  |    6325    |   18970    |
 6213 |            O'Meany             | 130  |   23010    |   69090    |
 6214 |            O'Meany             | 145  |   85570    |   256800   |
 6215 |            O'Teeny             |  25  |     10     |     32     |
 6216 |            O'Teeny             |  45  |     30     |     84     |
 6217 |            O'Teeny             |  65  |    110     |    330     |
 6218 |            O'Teeny             |  85  |    516     |    1562    |
 6219 |            O'Teeny             | 105  |    2707    |    8125    |
 6220 |            O'Teeny             | 125  |   14960    |   44780    |
 6221 |            O'Teeny             | 145  |   85570    |   256800   |
 6222 |        Giant Cyberchaun        | 102  |    2110    |    6315    |
 6223 |        Giant Cyberchaun        | 117  |    7519    |   22500    |
 6224 |        Giant Cyberchaun        | 132  |   27410    |   82210    |
 6225 |        Giant Cyberchaun        | 147  |   102100   |   306300   |
 6226 |           Cyberchaun           | 100  |    1786    |    5343    |
 6227 |           Cyberchaun           | 115  |    6325    |   18970    |
 6228 |           Cyberchaun           | 130  |   23010    |   69090    |
 6229 |           Cyberchaun           | 145  |   85570    |   256800   |
 6230 |          Dragonchaun           | 150  |   171300   |   514000   |
 6231 |          GO-LD Walker          | 135  |   35610    |   106800   |
 6232 |          GO-LD Walker          | 150  |   133000   |   399200   |
 6233 |     Leprechaun Power Armor     | 109  |    3792    |   11390    |
 6234 |     Leprechaun Power Armor     | 124  |   13670    |   41090    |
 6235 |     Leprechaun Power Armor     | 144  |   78390    |   235100   |
 6236 |           Uncle Sham           | 140  |   157200   |   478900   |
 6237 |         Eclipse Dragon         |  5   |     56     |     56     |
 6238 |         Eclipse Dragon         |  25  |     98     |     91     |
 6239 |         Eclipse Dragon         |  45  |    243     |    250     |
 6240 |         Eclipse Dragon         |  65  |    971     |    971     |
 6241 |         Eclipse Dragon         |  85  |    4589    |    4596    |
 6242 |         Eclipse Dragon         | 105  |   23930    |   23920    |
 6243 |         Eclipse Dragon         | 125  |   131900   |   131900   |
 6244 |          Thunderbird           |  2   |     31     |     10     |
 6245 |          Thunderbird           |  22  |     47     |     16     |
 6246 |          Thunderbird           |  42  |    120     |     39     |
 6247 |          Thunderbird           |  82  |    2044    |    682     |
 6248 |          Thunderbird           | 102  |   10530    |    3509    |
 6249 |          Thunderbird           | 122  |   57620    |   19210    |
 6250 |          Thunderbird           | 142  |   328600   |   109500   |
 6251 |           Dragoncat            |  5   |     39     |     14     |
 6252 |           Dragoncat            |  40  |    136     |     45     |
 6253 |           Dragoncat            |  80  |    2246    |    748     |
 6254 |           Dragoncat            | 120  |   62480    |   20810    |
 6255 |           Dragoncat            | 140  |   354900   |   118300   |
 6256 |        Turkeysaurus Rex        |  18  |     46     |     46     |
 6257 |        Turkeysaurus Rex        |  38  |    107     |    103     |
 6258 |        Turkeysaurus Rex        |  58  |    365     |    365     |
 6259 |        Turkeysaurus Rex        |  78  |    1634    |    1638    |
 6260 |        Turkeysaurus Rex        |  98  |    8293    |    8296    |
 6261 |        Turkeysaurus Rex        | 118  |   44950    |   44950    |
 6262 |        Turkeysaurus Rex        | 138  |   254500   |   254500   |
 6263 |           Ice Cweam            | 140  |   137900   |   137900   |
 6264 |             Warlic             |  4   |    105     |     38     |
 6265 |             Warlic             |  25  |    183     |     63     |
 6266 |             Warlic             |  46  |    529     |    176     |
 6267 |             Warlic             |  67  |    2254    |    752     |
 6268 |             Warlic             |  88  |   11720    |    3904    |
 6269 |             Warlic             | 109  |   67060    |   22350    |
 6270 |             Warlic             | 130  |   406800   |   135600   |
 6271 |           Blackhawke           |  4   |     65     |     24     |
 6272 |           Blackhawke           |  25  |    956     |    318     |
 6273 |           Blackhawke           |  46  |    1377    |    457     |
 6274 |           Blackhawke           |  67  |    2705    |    901     |
 6275 |           Blackhawke           |  88  |    6054    |    2017    |
 6276 |           Blackhawke           | 109  |   41740    |   13920    |
 6277 |           Blackhawke           | 130  |   253300   |   84440    |
 6278 |            Ardendor            |  15  |    137     |     45     |
 6279 |            Ardendor            |  35  |    289     |     95     |
 6280 |            Ardendor            |  65  |    1936    |    650     |
 6281 |            Ardendor            |  85  |    9190    |    3063    |
 6282 |            Ardendor            | 105  |   47840    |   15950    |
 6283 |            Ardendor            | 125  |   263700   |   87920    |
 6284 |            Ardendor            | 135  |   628900   |   209600   |
 6285 |         Atlas Maxwell          |  20  |    155     |     52     |
 6286 |         Atlas Maxwell          |  40  |    374     |    123     |
 6287 |         Atlas Maxwell          |  60  |    1356    |    448     |
 6288 |         Atlas Maxwell          |  80  |    6165    |    2052    |
 6289 |         Atlas Maxwell          | 100  |   31470    |   10490    |
 6290 |         Atlas Maxwell          | 120  |   171400   |   57140    |
 6291 |         Atlas Maxwell          | 140  |   974200   |   324700   |
 6292 |        Brilliant Shade         |  10  |     34     |     12     |
 6293 |           Abyss Wyrm           |  10  |     41     |     37     |
 6294 |           Abyss Wyrm           |  30  |     72     |     70     |
 6295 |           Abyss Wyrm           |  50  |    215     |    211     |
 6296 |           Abyss Wyrm           |  70  |    877     |    882     |
 6297 |           Abyss Wyrm           |  90  |    4292    |    4292    |
 6298 |           Abyss Wyrm           | 110  |   22720    |   22720    |
 6299 |           Abyss Wyrm           | 130  |   126600   |   126700   |
 6300 |        Brilliant Shade         |  30  |     66     |     21     |
 6301 |        Brilliant Shade         |  50  |    194     |     64     |
 6302 |        Brilliant Shade         |  70  |    801     |    267     |
 6303 |        Brilliant Shade         |  90  |    3901    |    1301    |
 6304 |        Brilliant Shade         | 110  |   20660    |    6885    |
 6305 |        Brilliant Shade         | 130  |   115100   |   38380    |
 6306 |        Brilliant Shade         | 150  |   665300   |   221800   |
 6307 |         Eclipse Dragon         | 145  |   756100   |   756000   |
 6308 |       Empowered SeekRat        | 150  |  1896000   |   632100   |
 6309 |         Shadow Blecch          | 150  |   665300   |   221800   |
 6310 |         Shadow Braken          | 150  |   532200   |   266200   |
 6311 |        Shadow Behemoth         | 146  |   467300   |   155800   |
 6312 |          Shadow BURP           | 146  |   467300   |   155800   |
 6313 |         Shadow Dragon          | 146  |   300800   |   300900   |
 6314 |          Shadow Ghoul          | 146  |   467300   |   155800   |
 6315 |          Shadow Zard           | 146  |   336800   |   112300   |
 6316 |     Shadow Alpha Werewolf      | 150  |   856700   |   285500   |
 6317 |      Shadow Vampire Lord       | 150  |   843900   |   285500   |
 6318 |    Clone of -none- (reuse)     |  48  |    520     |    312     |
 6319 |           Abyss Wyrm           | 150  |   731900   |   731900   |
 6320 |            Bookworm            |  15  |     39     |     13     |
 6321 |            Bookworm            |  35  |     82     |     27     |
 6322 |            Bookworm            | 135  |   177900   |   59350    |
 6323 |            Klangon             |  80  |    1742    |    582     |
 6324 |            Klangon             | 125  |   74670    |   24870    |
 6325 |            Klangon             | 135  |   177900   |   59350    |
 6326 |       Beastly Bush Baby        |  80  |    1742    |    582     |
